reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2021-07-1160,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,VIRIMAX,"VIRIMAX 15 gélules
VIRIMAX 30 gélules
VIRIMAX 60 gélules
VIRIMAX   3 gélules",3760008891020 VI095E Date de durabilité minimale 01/04/2022 3760008891020 VI248E Date de durabilité minimale 01/09/2022 3760008891020 VI037F Date de durabilité minimale 01/02/2023 3760008891020 VI157F Date de durabilité minimale 01/06/2023 3760008891013 VI248E Date de durabilité minimale 01/09/2022 3760008891013 VI037F Date de durabilité minimale 01/02/2023 3760143921019 VI095E Date de durabilité minimale 01/04/2022 3760143921019 VI248E Date de durabilité minimale 01/09/2022 3760143921064 VI248E Date de durabilité minimale 01/09/2022 3760143921064 VI037F Date de durabilité minimale 01/02/2023 3760008891013 VI095E Date de durabilité minimale 01/04/2022 3760008891013 VI157F Date de durabilité minimale 01/06/2023 3760143921064 VI095E Date de durabilité minimale 01/04/2022 3760143921064 VI157F Date de durabilité minimale 01/06/2023,"Boite de 15 gélules
Boite de 30 gélules
Boite de 60 gélules
Sachet 3 gélules",Du 16/10/2019 au 16/04/2021,Produit à conserver à température ambiante,,,France entière,PHARMACIES - MAGASINS BIO - INTERNET,Teneur non conforme en oxyde d'éthylène dans l'un des ingrédients entrant dans la composition du produit.,Produits phytosanitaires non autorisés,,Dépassement des limites autorisées d'oxyde d'éthylène dans l'un des ingrédients entrant dans la composition du produit.,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente,494087000,Echange,jeudi 30 septembre 2021,,https://rappel.conso.gouv.fr/image/7f51a5fa-5762-42d1-aa8d-9733792fc8c2.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2348/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2348/Interne,1D100960-FB74-46B7-A0CB-AE9F421D2845,2021-07-29
2021-07-1253,1,Imposé par arrêté préfectoral,Bébés-Enfants (hors alimentaire),Jouets,Fleurus Editions,Le camion-toupie d'Alexis - Coffret véhicule P'tit garçon,9782215170983,"Coffret contenant livre + jouet en bois, sous blister carton et plastique",Du 31/10/2019 au 07/07/2021,,,,France entière,"Tous les vendeurs de livres (librairies, GSA, GSS...)",Au regard de la norme NF EN 71-3 : la migration de l'élément plomb du matériau numéro 5 (bois) est supérieure à la limite normative fixée à 23 mg/kg : risque d'intoxication.,Intoxication,,,Ne plus utiliser le produit Rapporter le produit au point de vente,,Remboursement,vendredi 31 décembre 2021,,https://rappel.conso.gouv.fr/image/7c99d90b-0e60-45be-b6e8-3c5a34cbed22.jpg,,https://rappel.conso.gouv.fr/document/8e297c15-9548-424a-bc16-96c4ed40ab77/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/2444/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2444/Interne,C60F7423-B5BD-4B43-9B3D-8F3011F2F85F,2021-07-30
2021-08-0016,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,Eismann,2 croissants jambon fromage,3255790419359 Lot 08072020 Date de durabilité minimale 08/07/2022 3255790419359 Lot 02092020 Date de durabilité minimale 02/09/2022 3255790419359 Lot 21102020 Date de durabilité minimale 21/10/2022 3255790419359 Lot 10122020 Date de durabilité minimale 10/12/2022 3255790419359 Lot 08012020 Date de durabilité minimale 08/01/2022 3255790419359 Lot 18022020 Date de durabilité minimale 18/02/2022 3255790419359 Lot 18032020 Date de durabilité minimale 18/03/2022,boite 180 g,,Produit à conserver au congélateur,FR 76-278-001 CE,,France entière,Eismann,Une alerte a mis en évidence une teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne.,Autres contaminants chimiques,,"Suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée et comme un grand nombre d’acteurs de la distribution, nous procédons",Ne plus consommer Détruire le produit,800421701,Remboursement,,,https://rappel.conso.gouv.fr/image/16c58b01-7cc9-4f52-bd74-a53d3bd37fc5.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2625/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2625/Interne,DD29524C-482C-4151-956D-789C06F92F0B,2021-08-02
2021-08-0037,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,Eismann,4 Croq rösti,3255790427286 Lot 14022020 Date de durabilité minimale 14/08/2021 3255790427286 Lot 27022020 Date de durabilité minimale 27/08/2021 3255790427286 Lot 09062020 Date de durabilité minimale 09/12/2021 3255790427286 Lot 29102020 Date de durabilité minimale 29/04/2022 3255790427286 Lot 24112020 Date de durabilité minimale 24/05/2022,Boite 520 g,,Produit à conserver au congélateur,FR 76-278-001 CE,,France entière,Eismann,Une alerte a mis en évidence une teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne.,Autres contaminants chimiques,,"Suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée et comme un grand nombre d’acteurs de la distribution, nous procédons",Ne plus consommer Détruire le produit,800421701,Remboursement,,,https://rappel.conso.gouv.fr/image/7a923520-2b86-4b32-b2d5-3470e0c624cf.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2647/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2647/Interne,3B71D1EA-EF5F-4B06-8358-95B41DCE3382,2021-08-02
2021-08-0080,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûche Caramel Beurre Salé NESTLE,7613035741157 LVA0266 - LVA0267 - LVA0268 Date de durabilité minimale 30/09/2022 7613035741157 LVA0309 - LVA0310 Date de durabilité minimale 30/11/2022,Bûche,Du 09/10/2020 au 02/08/2021,Produit à conserver au congélateur,,Bûche Caramel Beurre Salé NESTLE,France entière,CARREFOUR   CASINO   AUCHAN   CORA   LECLERC   INTERMARCHE   SYSTEME U   SCHIEVER   MATCH,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/fa0cc8e0-b13d-4911-9555-ff2163c397f9.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2693/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2693/Interne,09A18F4A-510B-4398-85EA-39DA51E93CA8,2021-08-03
2021-08-0081,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûche Norvégienne NESTLE,7613031260805 LDA0297 - LDA0300 - LDA0301 Date de durabilité minimale 31/10/2022 7613031260805 LDA0322 Date de durabilité minimale 30/11/2022,Bûche,Du 13/11/2020 au 02/08/2021,Produit à conserver au congélateur,,Bûche Norvégienne NESTLE,France entière,CARREFOUR   AUCHAN   CORA   LECLERC   INTERMARCHE   SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/fa2ef563-82bb-4fe5-8ebf-1dc7cb35c618.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2694/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2694/Interne,653F75E1-95D8-4F58-BD95-FA13183CA46A,2021-08-03
2021-08-0083,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûche Sensations Poire Chocolat NESTLE,3274664171544 LVA0261 - LVA0262 - LVA0274 Date de durabilité minimale 30/09/2022 3274664171544 LVA0295 - LVA0296 - LVA0297 Date de durabilité minimale 31/10/2022,Bûche,Du 05/10/2020 au 02/08/2021,Produit à conserver au congélateur,,Bûche Sensations Poire Chocolat NESTLE,France entière,"CARREFOUR   DIVERS CLIENTS CORSE (SEDAGEL)   ALDI, AUCHAN   CASINO   CORA   LECLERC   INTERMARCHE   SYSTEME U","La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/324ce639-b82d-475f-80ba-8d544fe336fb.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2696/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2696/Interne,5A7829AC-C16B-40CD-B1D4-F638A5C44B2C,2021-08-03
2021-08-0084,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûche Caramel Peanuts NESTLE,3274664137557 LVA0282 - LVA0304 - LVA0283 Date de durabilité minimale 31/10/2022,Bûche,Du 13/11/2020 au 02/08/2021,Produit à conserver au congélateur,,Bûche Caramel Peanuts NESTLE,France entière,CARREFOUR   AUCHAN   CORA   LECLERC   SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/4bd1c4f1-a2d4-4e99-899b-13ab7b156536.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2697/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2697/Interne,65B602E8-37C5-4BA6-9390-F757BFCDFE4B,2021-08-03
2021-08-0085,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûchettes NESTLE Chalet de Noël Vanille Fraise,3274664099237 LDA9317 Date de durabilité minimale 30/11/2021 3274664099237 LDA0286 - LDA0287 Date de durabilité minimale 31/10/2022,Bûchette,Du 18/11/2019 au 02/08/2021,Produit à conserver au congélateur,,Bûchettes NESTLE Chalet de Noël Vanille Fraise,France entière,CASINO   CORA   CROQUE GEL    LECLERC   AUCHAN   INTERMARCHE   SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/5bcf62f6-b02c-44fd-9832-3a8266e121fa.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2698/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2698/Interne,4DBB5690-5F01-4DD7-BA96-08B8CD9C088F,2021-08-03
2021-08-0086,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûchettes NESTLE Chalet de Noël Chocolat Vanille,3274664099220 LDA9318 Date de durabilité minimale 30/11/2021 3274664099220 LDA0282 - LDA0283 - LDA0287 - LDA0288 Date de durabilité minimale 31/10/2022 3274664099220 LDA0316 Date de durabilité minimale 30/11/2022,Bûchette,Du 25/11/2019 au 02/08/2021,Produit à conserver au congélateur,,Bûchettes NESTLE Chalet de Noël Chocolat Vanille,France entière,CARREFOUR   CASINO   CROQUE GEL    LECLERC   AUCHAN   INTERMARCHE   SYSTEME U   MATCH,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/c8405fe1-ef10-4952-b7fb-25038a183ba8.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2699/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2699/Interne,8139827F-EC6A-4E2A-879A-2FFF94B67C08,2021-08-03
2021-08-0087,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûche l'Amandière NESTLE,3033210001403 LVA0274 Date de durabilité minimale 30/09/2022 3033210001403 LVA0275 - LVA0276 - LVA0277 Date de durabilité minimale 31/10/2022,Bûche,Du 02/11/2020 au 02/08/2021,Produit à conserver au congélateur,,Bûche l'Amandière NESTLE,France entière,CARREFOUR   CASINO   AUCHAN   CORA   LECLERC   INTERMARCHE   SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/3a5d7b8e-2043-40fb-a92a-d34992689166.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2700/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2700/Interne,50FB47BD-E4D6-45EC-B1DE-8F2179446B02,2021-08-03
2021-08-0088,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé,Bûche Délice à l'Ancienne NESTLE,3033210001380 LVA0272 - LVA0273 Date de durabilité minimale 30/09/2022,Bûche,Du 12/11/2020 au 02/08/2021,Produit à conserver au congélateur,,Bûche Délice à l'Ancienne NESTLE,France entière,CARREFOUR   AUCHAN   CASINO   CORA   LECLERC   INTERMARCHE   SYSTEME U,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,"Pour toute question, vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77",https://rappel.conso.gouv.fr/image/3d16a015-91e0-459c-bb98-ad4c55c63b5c.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2701/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2701/Interne,0F40C519-9A4C-48B0-8B33-B659A435AED0,2021-08-03
2021-08-0089,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé signature,Buche chocolat caramel 800ml,"3274664135072 LPL0287, LPL0288 Date de durabilité minimale 31/10/2022",Buche chocolat caramel 800ml,Du 20/11/2020 au 02/08/2021,Produit à conserver au congélateur,,Buche chocolat caramel 800ml,France entière,"CASINO, CORA REGION, EURELEC, INTERMARCHE, SYSTEM U REGION","La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/da4942b8-4a63-49c6-8c94-784edfb0d055.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2702/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2702/Interne,45A5990A-E663-411C-B09F-EFFCB5BD205D,2021-08-03
2021-08-0090,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Nestlé signature,Buche vanille et infusion fève tonka 800ml,"3274664135058 LPL0275, LPL0276 Date de durabilité minimale 31/10/2022 3274664135058 LPL9319, LPL9320 Date de durabilité minimale 30/11/2021",Buche vanille et infusion fève tonka 800ml,Du 20/11/2019 au 02/08/2021,Produit à conserver au congélateur,,Buche vanille et infusion fève tonka 800ml,France entière,"BAUD REGION, CASINO, CEGES BELGIQUE, CORA REGION, CROQUE GEL, DIVERS CLIENTS CORSES, EURELEC, EXPORT TG, INDEPENDANT, INTERMARCHE, METRO REGION, SYSTEM U REGION","La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 2 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/e4e1d823-f573-4efd-a3b0-7f28d1743386.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2703/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2703/Interne,28F6D3AD-CCA2-46AD-BF29-5D66A0158A6C,2021-08-03
